gene,control_rep1,control_rep2,control_rep3,exp_rep1,exp_rep2,exp_rep3
ENSG00000228794.12,11.102527992252243,11.126622647105467,11.24114156667009,11.283220610486342,11.221746739027422,11.157936057623523
ENSG00000288531.1,6.5905471491588665,6.434192104978952,6.434192104978952,6.700430140412586,6.69842233103255,6.653710850362262
ENSG00000272438.1,7.143874598635438,7.215109108610899,7.182489776300977,7.2241350668010504,7.259625010883429,7.2456113802838145
ENSG00000230699.2,7.957703276200702,8.050427888397087,7.926740065490397,7.922004829815261,8.101615373488166,8.132917852297123
ENSG00000241180.1,6.434192104978952,6.672262247450304,6.719736807173586,6.588049993831552,6.5868875240769995,6.7443404755805
ENSG00000223764.2,7.743528466949993,7.945154276979338,7.977472559343924,7.771206818314995,7.9573846001183,8.074552977787503
ENSG00000187634.13,7.859549817735834,7.983872951685219,7.993891439254576,7.585743156184921,7.520505146941269,8.21011533214502
ENSG00000188976.11,13.473719925352157,13.63786879598736,13.581511590051518,13.49146763808455,13.430521840278267,13.736854163242771
ENSG00000187961.15,8.985608106068158,8.849207606521968,8.915517427130355,9.00499031989703,9.12426132791445,8.965796366276837
ENSG00000187583.11,8.035532835460137,8.057592219692316,8.046986550509251,8.200714116916592,8.15684048934694,8.08645892695358
ENSG00000187642.10,6.704742919328949,6.725602578245833,6.434192104978952,6.651677153434337,6.434192104978952,6.434192104978952
ENSG00000272512.1,7.055114904285499,7.197566518920574,7.113723407696929,7.148861877717855,7.405769166899821,7.2019646700090725
ENSG00000188290.11,9.27230601974707,9.406830011083635,9.303369546441761,9.019141235958024,9.16225653414279,9.780640898195752
ENSG00000187608.10,9.6214960662440685,9.745008117582609,9.789539392116122,9.33697791585243,9.337985958372064,9.54234140000786
ENSG00000224969.1,6.816252226937718,6.770494319295615,6.927175720579558,6.96443459061791,6.890586727131908,6.871971712852678
ENSG00000188157.15,15.692473896748842,15.88032156058818,15.827252149333109,15.877091304409891,15.806778972574776,16.08453666298416
ENSG00000291156.1,7.799247173437316,7.728072650066115,7.58286357299858,7.763469236684696,7.682153301682786,7.641626539684038
ENSG00000273443.1,6.704742919328949,6.878330142685005,6.577139129563083,6.7414725739592996,6.650035483297696,6.7443404755805
ENSG00000217801.13,7.015563771998122,6.809978056063979,6.783627833967261,6.918684190663561,6.938293569671864,6.923180591684681
